name,address,directions_site,could_scrape,has_cycling,has_directions
The Pearce Institute,"840-860 Govan Rd, Glasgow, United Kingdom",http://www.pearceinstitute.org.uk/,true,false,false
Toryglen Community Hall,"199 Prospecthill Circus, Glasgow, United Kingdom",http://www.yell.com/biz/toryglen-community-hall-glasgow-1866060/,true,false,false
Kennishead Hall,"10 Kennishead Ave, Thornliebank, Glasgow, United Kingdom",http://www.yell.com/biz/kennishead-community-hall-glasgow-4864480/,true,false,false
Barmulloch Community Centre,"46 Wallacewell Quadrant, Glasgow, United Kingdom",http://www.yell.com/biz/barmulloch-community-centre-glasgow-3318678/,true,false,false
Heart of Scotstoun Community Centre,"64 Balmoral St, Glasgow, United Kingdom",http://heartofscotstoun.org/,true,false,false
Milngavie Town Hall,"Station House, 71 Station Rd, Milngavie, United Kingdom",http://www.list.co.uk/place/16102-milngavie-town-hall/,true,false,false
Spittal Community Centre,"Spittal Community Centre, Carrick Rd, Rutherglen, Glasgow, United Kingdom",http://www.yell.com/biz/spittal-community-hall-glasgow-663373/,true,false,false
Gorbals Parish Church,"1 Errol Gardens, Glasgow, United Kingdom",http://www.gorbalschurch.org.uk/,true,false,false
Clarkston Hall,"Clarkston Rd, Clarkston, Glasgow, United Kingdom",http://www.eastrenfrewshire.gov.uk/clarkstonhall,true,false,false
Govanhill Baths Community Trust,"99 Calder St, Glasgow, United Kingdom",http://www.govanhillbaths.com/,true,false,false
